diameter	height
1,485763096	14,53057148
1,635010621	20,94121037
1,059496324	16,10710824
1,773605905	22,39200248
1,012026475	14,7397445
1,90556492	17,44242397
1,6000534	16,61692585
1,625714078	13,43149544
1,361445153	17,23775835
1,833549774	24,97657068
1,796350828	21,56410296
1,042729138	18,01915827
1,96745197	21,72784862
2,18208314	21,62809575
0,692214187	16,27247731
0,850087008	17,090636
2,052411602	18,3952916
2,123017063	16,96529801
1,081351326	22,76579079
1,697230147	22,40151004
1,090627261	23,99425177
1,394010424	22,99064433
2,659777042	26,68741756
1,380219801	21,10216139
1,129856183	20,462607
2,207399484	18,82400666
2,090434084	25,44924126
1,592274778	21,50400921
1,528086678	20,00674998
1,468269859	21,33414772
1,374639661	17,88317396
1,888343016	19,41661509
1,521221225	21,27941996
1,256084616	17,35448574
1,775046692	20,63811484
1,916108357	20,9921408
3,120867651	23,34230403
1,459137699	21,54183021
2,127768334	22,22924593
1,928337069	23,68467332
1,05456907	20,52553448
1,115049132	25,92564364
2,134431884	23,12373611
1,119126099	17,58450046
1,789573372	20,34100514
1,717689894	18,4191679
1,685770556	19,80627471
0,381293658	19,67453428
1,277263276	21,43550431
1,825411443	19,05620294
